key,error_clean_mean,error_clean_std,gaussian_noise,shot_noise,impulse_noise,defocus_blur,glass_blur,motion_blur,zoom_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression
resnet20-algo2/k:10-vdb-diag-M1,18.779999017715454,0.5205753970731182,276.63750275969505,237.33249753713608,244.90750171244144,156.97500184178352,318.10249984264374,204.78249490261078,200.07749795913696,198.49500507116318,201.59750059247017,139.46249037981033,102.63249725103378,202.7350015938282,164.85500633716583,188.9749988913536,152.49499678611755
resnet20-algo2/k:10-vdb-diag-M12,20.139987766742706,0.9418837663577883,290.5324950814247,250.6249986588955,264.1124986112118,173.40500205755234,337.55999989807606,214.44749310612679,215.25750011205673,212.70499229431152,206.65499940514565,155.42750135064125,111.33500337600708,212.297498062253,181.05250000953674,181.03250712156296,162.9574954509735
resnet20-algo2/k:10-vdb-diag-M6,19.482499361038208,1.1238778032333103,245.619997382164,211.6525001823902,227.75250002741814,170.89999616146088,301.9849993288517,219.48750391602516,219.61750239133835,189.40999656915665,189.34250101447105,150.47749876976013,108.80500227212906,212.92000263929367,181.28500282764435,185.42749658226967,155.55499792099
resnet20-oneshot-vdb-diag-M1,20.424991846084595,2.0503425297211226,272.4650003015995,237.30749636888504,244.84500214457512,168.96250769495964,311.0975004732609,202.75249630212784,213.1674960255623,202.42250114679337,200.56000873446465,147.45750203728676,110.16249805688858,205.85500299930573,178.09250354766846,194.59499642252922,165.37000387907028
resnet20-oneshot-vdb-diag-M12,19.515004754066467,0.7649161081933795,253.60249802470207,217.12749525904655,226.21750831604004,168.14249232411385,302.83499732613564,208.18750262260437,206.81250169873238,195.2000007033348,199.7874990105629,149.08499866724014,110.31500548124313,205.61500303447247,176.11499577760696,201.41250118613243,162.75001019239426
resnet20-oneshot-vdb-diag-M6,19.099994003772736,1.016954692486304,265.8125013113022,229.40500527620316,236.86750084161758,165.41499868035316,301.89500004053116,199.3524968624115,198.95000010728836,195.65750062465668,197.3849982023239,145.71499973535538,105.96499741077423,213.23000714182854,172.86000698804855,188.91000226140022,162.68500238656998
resnet20-oneshot-vib-diag-M12,19.147486984729767,0.8046243304117423,259.62250381708145,225.51000267267227,232.65249654650688,154.0325053036213,301.36499777436256,197.3575048148632,191.54999777674675,193.3374986052513,199.0624912083149,141.51000082492828,106.5125048160553,206.00250400602818,164.03249502182007,210.4974962770939,157.65000134706497
resnet20-oneshot-vib-diag-M6,18.304993212223053,0.6949622705798445,249.06000196933746,214.60999622941017,234.11749675869942,150.02499297261238,308.69749933481216,190.4924988746643,185.34250035881996,189.29249793291092,195.35499811172485,133.8524967432022,102.7449905872345,198.45249764621258,155.54999858140945,206.82500042021275,151.2325033545494
