key,gaussian_noise,shot_noise,impulse_noise,defocus_blur,glass_blur,motion_blur,zoom_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression
resnet20-algo2/k:10-vdb-diag-M1,257.8575037419796,218.55249851942062,226.127502694726,138.19500282406807,299.3225008249283,186.00249588489532,181.2974989414215,179.71500605344772,182.81750157475471,120.68249136209488,83.85249823331833,183.95500257611275,146.07500731945038,170.19499987363815,133.7149977684021
resnet20-algo2/k:10-vdb-diag-M12,270.392507314682,230.4850108921528,243.97251084446907,153.26501429080963,317.42001213133335,194.30750533938408,195.11751234531403,192.56500452756882,186.51501163840294,135.28751358389854,91.19501560926437,192.1575102955103,160.91251224279404,160.89251935482025,142.8175076842308
resnet20-algo2/k:10-vdb-diag-M6,226.1374980211258,192.170000821352,208.27000066637993,151.41749680042267,282.5024999678135,200.00500455498695,200.13500303030014,169.92749720811844,169.86000165343285,130.99499940872192,89.32250291109085,193.43750327825546,161.80250346660614,165.94499722123146,136.07249855995178
resnet20-oneshot-vdb-diag-M1,252.0400084555149,216.88250452280045,224.42001029849052,148.53751584887505,290.6725086271763,182.32750445604324,192.7425041794777,181.99750930070877,180.13501688838005,127.03251019120216,89.73750621080399,185.43001115322113,157.66751170158386,174.17000457644463,144.9450120329857
resnet20-oneshot-vdb-diag-M12,234.0874932706356,197.6124905049801,206.70250356197357,148.62748757004738,283.31999257206917,188.6724978685379,187.2974969446659,175.68499594926834,180.27249425649643,129.56999391317368,90.80000072717667,186.099998280406,156.5999910235405,181.89749643206596,143.2350054383278
resnet20-oneshot-vdb-diag-M6,246.71250730752945,210.30501127243042,217.76750683784485,146.31500467658043,282.7950060367584,180.25250285863876,179.85000610351562,176.55750662088394,178.28500419855118,126.61500573158264,86.8650034070015,194.1300131380558,153.76001298427582,169.8100082576275,143.58500838279724
resnet20-oneshot-vib-diag-M12,240.47501683235168,206.3625156879425,213.50500956177711,134.88501831889153,282.2175107896328,178.21001783013344,172.40251079201698,174.19001162052155,179.91500422358513,122.36251384019852,87.36501783132553,186.8550170212984,144.8850080370903,191.35000929236412,138.5025143623352
resnet20-oneshot-vib-diag-M6,230.7550087571144,196.30500301718712,215.81250354647636,131.71999976038933,290.3925061225891,172.18750566244125,167.0375071465969,170.98750472068787,177.0500048995018,115.54750353097916,84.43999737501144,180.14750443398952,137.2450053691864,188.5200072079897,132.92751014232635
