key,error_clean_mean,error_clean_std,gaussian_noise,shot_noise,impulse_noise,defocus_blur,glass_blur,motion_blur,zoom_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression
resnet20-algo2/k:10-vdb-diag-M1,19.754990935325623,0.5108480174625792,271.1200028657913,231.50500133633614,247.4924936890602,162.3950019478798,310.2525047957897,201.0899931192398,197.37999886274338,195.51499783992767,196.91249281167984,139.31250274181366,107.02750086784363,199.67750273644924,168.57499927282333,190.1875026524067,157.2950005531311
resnet20-algo2/k:10-vdb-diag-M12,18.89750063419342,1.5186395106026358,269.6950025856495,232.79999494552612,243.03500205278397,156.36999383568764,323.7249992787838,199.7950054705143,198.49499985575676,197.29249775409698,202.98000425100327,144.67749744653702,105.2074983716011,214.63249549269676,167.4000009894371,206.12249821424484,158.59249532222748
resnet20-algo2/k:10-vdb-diag-M6,18.20499449968338,1.4800895247834367,256.29249811172485,219.07250732183456,226.89749971032143,165.3449945151806,311.8550017476082,209.89250019192696,205.91749921441078,184.67000275850296,195.6725001335144,142.24249869585037,102.71000117063522,208.3600051701069,170.55251151323318,180.21750301122665,149.83250051736832
resnet20-oneshot-vdb-diag-M1,19.227498769760132,1.7397895018970835,275.9749986231327,236.22499853372574,246.61499448120594,160.31250655651093,322.75500521063805,205.4225005209446,204.05500531196594,193.96750032901764,196.98500260710716,140.4799982905388,106.44500255584717,203.1350001692772,171.23999521136284,196.11500799655914,157.51249641180038
resnet20-oneshot-vdb-diag-M12,19.622501730918884,1.0839615897809098,253.91500443220139,218.00750717520714,237.90750429034233,168.96249800920486,299.19749572873116,212.06500232219696,211.29000037908554,191.20249897241592,192.05249696969986,146.8450002372265,108.44999104738235,215.00000543892384,171.1975023150444,199.13750737905502,153.9024993777275
resnet20-oneshot-vdb-diag-M6,20.42750120162964,3.173186504168148,252.02499702572823,215.9825064241886,228.9099983870983,157.2224996984005,297.21499904990196,192.022492736578,190.56749939918518,190.2650073170662,190.40750116109848,141.78999960422516,110.07499694824219,203.64999994635582,167.61500090360641,203.23500484228134,157.91750103235245
resnet20-oneshot-vib-diag-M12,18.36000382900238,0.82263610271011,255.36249727010727,217.7674986422062,226.93750485777855,158.75999853014946,302.03500241041183,194.32249665260315,198.0749972164631,185.97999960184097,194.10499781370163,138.16750198602676,102.02250182628632,203.0825011432171,164.40999954938889,192.38499626517296,149.9350056052208
resnet20-oneshot-vib-diag-M6,18.305006623268127,0.4121984354989659,275.589994341135,233.52749720215797,238.26999627053738,160.42749360203743,316.3349986076355,198.16750213503838,200.37000104784966,188.39499205350876,192.60751083493233,133.60000252723694,101.0224848985672,198.73000159859657,166.95999950170517,181.10999837517738,152.9699981212616
