key,gaussian_noise,shot_noise,impulse_noise,defocus_blur,glass_blur,motion_blur,zoom_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression
resnet20-algo2/k:10-vdb-diag-M1,251.3650119304657,211.7500104010105,227.7375027537346,142.64001101255417,290.4975138604641,181.33500218391418,177.62500792741776,175.76000690460205,177.15750187635422,119.55751180648804,87.272509932518,179.92251180112362,148.8200083374977,170.43251171708107,137.54000961780548
resnet20-algo2/k:10-vdb-diag-M12,250.79750195145607,213.9024943113327,224.13750141859055,137.47249320149422,304.8274986445904,180.89750483632088,179.59749922156334,178.39499711990356,184.08250361680984,125.7799968123436,86.30999773740768,195.73499485850334,148.50250035524368,187.22499758005142,139.69499468803406
resnet20-algo2/k:10-vdb-diag-M6,238.08750361204147,200.86751282215118,208.69250521063805,147.1400000154972,293.6500072479248,191.68750569224358,187.7125047147274,166.46500825881958,177.46750563383102,124.03750419616699,84.50500667095184,190.1550106704235,152.3475170135498,162.01250851154327,131.62750601768494
resnet20-oneshot-vdb-diag-M1,256.7474998533726,216.9974997639656,227.3874957114458,141.0850077867508,303.5275064408779,186.19500175118446,184.8275065422058,174.7400015592575,177.75750383734703,121.25249952077866,87.21750378608704,183.90750139951706,152.0124964416027,176.887509226799,138.28499764204025
resnet20-oneshot-vdb-diag-M12,234.2925027012825,198.38500544428825,218.28500255942345,149.33999627828598,279.57499399781227,192.44250059127808,191.66749864816666,171.57999724149704,172.42999523878098,127.2224985063076,88.82748931646347,195.37750370800495,151.57500058412552,179.51500564813614,134.27999764680862
resnet20-oneshot-vdb-diag-M6,231.5974958240986,195.55500522255898,208.48249718546867,136.79499849677086,276.7874978482723,171.59499153494835,170.13999819755554,169.83750611543655,169.97999995946884,121.36249840259552,89.64749574661255,183.22249874472618,147.18749970197678,182.8075036406517,137.4899998307228
resnet20-oneshot-vib-diag-M12,237.0024934411049,199.4074948132038,208.57750102877617,140.39999470114708,283.67499858140945,175.96249282360077,179.7149933874607,167.6199957728386,175.74499398469925,119.80749815702438,83.66249799728394,184.7224973142147,146.0499957203865,174.02499243617058,131.57500177621841
resnet20-oneshot-vib-diag-M6,257.2849877178669,215.22249057888985,219.96498964726925,142.1224869787693,298.02999198436737,179.86249551177025,182.06499442458153,170.08998543024063,174.3025042116642,115.29499590396881,82.71747827529907,180.42499497532845,148.65499287843704,162.80499175190926,134.66499149799347
