key,gaussian_noise,shot_noise,impulse_noise,defocus_blur,glass_blur,motion_blur,zoom_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression
resnet20-algo2/k:10-vdb-diag-M1,235.32500714063644,201.1650115251541,203.09250578284264,156.70001208782196,280.1275059580803,196.790012717247,201.04750841856003,174.60750713944435,185.71501225233078,133.49000737071037,87.98749595880508,193.59501227736473,161.23250275850296,183.68251472711563,147.10500687360764
resnet20-algo2/k:10-vdb-diag-M12,265.5124895274639,226.2549951672554,233.05499032139778,147.3374918103218,303.35749238729477,186.04748845100403,185.29999628663063,184.21748355031013,187.92748674750328,130.15249073505402,87.5949889421463,189.2024964094162,154.9274906516075,167.76749342679977,144.71748620271683
resnet20-algo2/k:10-vdb-diag-M6,227.59250327944756,194.08500641584396,203.05000767111778,143.2225041091442,277.43000239133835,186.14750802516937,180.89750930666924,168.61500591039658,171.56000435352325,124.14000779390335,87.99750208854675,185.3300042450428,149.94250237941742,172.64250665903091,134.33000147342682
resnet20-oneshot-vdb-diag-M1,234.30499657988548,197.51499518752098,211.32999397814274,150.24749338626862,287.7599999308586,187.12499514222145,187.3474918305874,172.38249480724335,171.52749821543694,116.8149933218956,86.409991979599,183.60500261187553,153.9124920964241,190.73748886585236,144.74249333143234
resnet20-oneshot-vdb-diag-M12,255.04499897360802,218.29249784350395,228.33499535918236,140.90999960899353,303.41250225901604,177.68249064683914,177.05999463796616,184.122496843338,183.00000205636024,127.17249989509583,94.21000480651855,189.2025027424097,151.4774963259697,185.91498881578445,150.5274996161461
resnet20-oneshot-vdb-diag-M6,248.16251322627068,207.8100085258484,211.92750930786133,151.04000642895699,290.5350126326084,189.69000354409218,194.64750811457634,170.25500684976578,175.9500041604042,126.04250609874725,85.76001077890396,189.69501331448555,161.70750707387924,169.44001242518425,141.24500900506973
resnet20-oneshot-vib-diag-M12,223.31999093294144,186.86499074101448,200.61999559402466,139.06998336315155,275.06248876452446,169.1699892282486,178.35498675704002,162.99748867750168,162.3049944639206,115.44748693704605,82.94748365879059,182.96748846769333,144.5524901151657,161.90249770879745,131.89499974250793
resnet20-oneshot-vib-diag-M6,233.34499970078468,196.75249010324478,206.84248879551888,144.08749714493752,286.5474909543991,179.06749472022057,185.81998944282532,171.31749242544174,172.62998819351196,117.61999130249023,85.03998667001724,181.36999681591988,148.06749522686005,190.237495303154,141.472490131855
