key,error_clean_mean,error_clean_std,gaussian_noise,shot_noise,impulse_noise,defocus_blur,glass_blur,motion_blur,zoom_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression
resnet20-algo2/k:10-vdb-diag-M1,19.35999244451523,0.3599115282398266,254.68499958515167,220.52500396966934,222.45249822735786,176.0600045323372,299.4874984025955,216.15000516176224,220.40750086307526,193.96749958395958,205.075004696846,152.8499998152256,107.34748840332031,212.95500472187996,180.5924952030182,203.04250717163086,166.46499931812286
resnet20-algo2/k:10-vdb-diag-M12,19.70500946044922,1.405698243065037,285.21749898791313,245.96000462770462,252.759999781847,167.04250127077103,323.062501847744,205.75249791145325,205.00500574707985,203.92249301075935,207.6324962079525,149.85750019550323,107.29999840259552,208.90750586986542,174.63250011205673,187.472502887249,164.42249566316605
resnet20-algo2/k:10-vdb-diag-M6,19.39249485731125,1.3736564682028398,246.9849981367588,213.4775012731552,222.44250252842903,162.61499896645546,296.8224972486496,205.54000288248062,200.29000416398048,188.00750076770782,190.9524992108345,143.5325026512146,107.389996945858,204.72249910235405,169.33499723672867,192.03500151634216,153.72249633073807
resnet20-oneshot-vdb-diag-M1,19.347505271434784,1.1808901737910575,253.65250185132027,216.86250045895576,230.67749924957752,169.5949986577034,307.1075052022934,206.47250041365623,206.69499710202217,191.73000007867813,190.87500348687172,136.16249859333038,105.75749725103378,202.95250788331032,173.2599973678589,210.08499413728714,164.08999860286713
resnet20-oneshot-vdb-diag-M12,21.29250168800354,3.711306710556688,276.33750066161156,239.5849995315075,249.6274970471859,162.20250129699707,324.7050039470196,198.97499233484268,198.3524963259697,205.41499853134155,204.29250374436378,148.46500158309937,115.5025064945221,210.49500443041325,172.76999801397324,207.207490503788,171.82000130414963
resnet20-oneshot-vdb-diag-M6,18.82248967885971,0.63877281197247,266.9850029051304,226.6324982047081,230.74999898672104,169.8624961078167,309.3575023114681,208.5124932229519,213.46999779343605,189.0774965286255,194.77249383926392,144.86499577760696,104.58250045776367,208.51750299334526,180.52999675273895,188.26250210404396,160.06749868392944
resnet20-oneshot-vib-diag-M12,18.352510035037994,1.4841507316062694,241.67250096797943,205.21750077605247,218.97250562906265,157.42249339818954,293.41499879956245,187.5224992632866,196.70749679207802,181.34999871253967,180.6575044989586,133.79999697208405,101.29999369382858,201.31999850273132,162.9050001502037,180.25500774383545,150.24750977754593
resnet20-oneshot-vib-diag-M6,18.715006113052368,1.0786618131795087,252.06000581383705,215.46749621629715,225.55749490857124,162.80250325798988,305.2624970674515,197.78250083327293,204.53499555587769,190.0324985384941,191.34499430656433,136.3349974155426,103.75499278306961,200.08500292897224,166.78250133991241,208.95250141620636,160.18749624490738
