key,error_clean_mean,error_clean_std,gaussian_noise,shot_noise,impulse_noise,defocus_blur,glass_blur,motion_blur,zoom_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression
resnet20-algo2/k:10-vdb-diag-M1,20.410001277923584,1.3943066588444055,263.41999992728233,225.50250366330147,239.0975046902895,167.53749549388885,299.16499853134155,201.49499773979187,207.49250054359436,198.37749898433685,191.2200003862381,145.4174943268299,108.21499824523926,203.94500866532326,176.3299897313118,196.48500755429268,168.96749883890152
resnet20-algo2/k:10-vdb-diag-M12,19.047482311725616,0.8313501350308341,257.1525029838085,218.37750002741814,237.2225046157837,154.71249967813492,312.897502630949,192.18500182032585,189.68499898910522,189.57999348640442,194.742501527071,138.49249631166458,105.22750169038773,201.06250643730164,164.44249600172043,189.71999511122704,151.53999477624893
resnet20-algo2/k:10-vdb-diag-M6,20.882494747638702,0.38939951062532735,265.43499678373337,227.71499827504158,247.42249697446823,160.0774995982647,311.1100032925606,201.9124999642372,193.99749860167503,199.51249659061432,196.2100051343441,143.9150020480156,113.5050043463707,206.63750059902668,167.44250357151031,180.69499880075455,153.46749275922775
resnet20-oneshot-vdb-diag-M1,20.68750262260437,1.793254475011569,247.56500273942947,215.5400075018406,232.45500400662422,166.23999923467636,295.29249742627144,207.22750276327133,198.62749800086021,199.2950052022934,200.97249895334244,149.95749965310097,114.50500786304474,211.1300017684698,175.34500509500504,215.3425045311451,168.46501231193542
resnet20-oneshot-vdb-diag-M12,19.730007648468018,1.6311781425964147,264.6674983203411,230.75000494718552,242.76000186800957,163.59499469399452,318.3625001460314,202.98499837517738,202.44999900460243,201.00000128149986,207.73749873042107,148.99250119924545,110.29750108718872,213.610003516078,173.19250106811523,205.6174986064434,163.9374941587448
resnet20-oneshot-vdb-diag-M6,19.54999566078186,0.435502900523326,272.2325012087822,232.04250782728195,251.96500606834888,167.0899972319603,318.38999688625336,209.66999754309654,204.88749966025352,198.5499933362007,195.45000344514847,145.20250260829926,108.43250006437302,211.5525022149086,171.58499509096146,188.96499499678612,159.52750146389008
resnet20-oneshot-vib-diag-M12,19.809995591640472,1.303094559639219,262.62999288737774,225.31000450253487,238.3575014770031,163.47501203417778,306.8624973297119,202.90750190615654,206.54500052332878,194.73500102758408,196.4650109410286,140.54500460624695,108.62499326467514,201.64249762892723,169.9350044131279,189.28750082850456,159.47249978780746
resnet20-oneshot-vib-diag-M6,18.732500076293945,0.961387665250113,283.7724983692169,243.47750023007393,242.39000342786312,166.21249914169312,322.31499925255775,214.3649958074093,206.40999749302864,199.72500056028366,204.66749891638756,141.91249758005142,102.99499928951263,201.87500230967999,172.2924992442131,197.07500264048576,162.03500032424927
