key,gaussian_noise,shot_noise,impulse_noise,defocus_blur,glass_blur,motion_blur,zoom_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression
resnet20-algo2/k:10-vdb-diag-M1,243.00999864935875,205.09250238537788,218.6875034123659,147.12749421596527,278.75499725341797,181.0849964618683,187.08249926567078,177.96749770641327,170.8099991083145,125.00749304890633,87.80499696731567,183.53500738739967,155.9199884533882,176.0750062763691,148.55749756097794
resnet20-algo2/k:10-vdb-diag-M12,238.1050206720829,199.33001771569252,218.17502230405807,135.6650173664093,293.8500203192234,173.13751950860023,170.6375166773796,170.5325111746788,175.69501921534538,119.44501399993896,86.18001937866211,182.01502412557602,145.3950136899948,170.67251279950142,132.49251246452332
resnet20-algo2/k:10-vdb-diag-M6,244.55250203609467,206.83250352740288,226.54000222682953,139.195004850626,290.2275085449219,181.0300052165985,173.11500385403633,178.63000184297562,175.3275103867054,123.03250730037689,92.622509598732,185.75500585138798,146.5600088238716,159.81250405311584,132.58499801158905
resnet20-oneshot-vdb-diag-M1,226.8775001168251,194.85250487923622,211.76750138401985,145.552496612072,274.60499480366707,186.54000014066696,177.93999537825584,178.60750257968903,180.28499633073807,129.2699970304966,93.81750524044037,190.44249914586544,154.65750247240067,194.65500190854073,147.77750968933105
resnet20-oneshot-vdb-diag-M12,244.9374906718731,211.0199972987175,223.02999421954155,143.8649870455265,298.63249249756336,183.25499072670937,182.71999135613441,181.26999363303185,188.00749108195305,129.26249355077744,90.5674934387207,193.87999586760998,153.46249341964722,185.8874909579754,144.2074865102768
resnet20-oneshot-vdb-diag-M6,252.68250554800034,212.4925121665001,232.41501040756702,147.54000157117844,298.8400012254715,190.12000188231468,185.33750399947166,178.99999767541885,175.9000077843666,125.6525069475174,88.88250440359116,192.00250655412674,152.0349994301796,169.41499933600426,139.97750580310822
resnet20-oneshot-vib-diag-M12,242.81999729573727,205.5000089108944,218.54750588536263,143.6650164425373,287.05250173807144,183.09750631451607,186.7350049316883,174.9250054359436,176.65501534938812,120.73500901460648,88.81499767303467,181.83250203728676,150.12500882148743,169.4775052368641,139.662504196167
resnet20-oneshot-vib-diag-M6,265.039998292923,224.74500015377998,223.65750335156918,147.47999906539917,303.5824991762638,195.63249573111534,187.6774974167347,180.99250048398972,185.9349988400936,123.17999750375748,84.26249921321869,183.14250223338604,153.55999916791916,178.34250256419182,143.30250024795532
